"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"79",NA,NA,77.21,31.45,55.76,76.04,71.34,NA
"80",NA,"Leiden, Netherlands",77.2,37.29,58.49,66.23,NA,77.18
"81",NA,"Helsinki, Finland",77.17,38.32,NA,69.7,83.74,NA
"82",NA,"Chicago, IL, United States",77.06,NA,67.77,73.3,76.34,135.26
"83",NA,"Fort Lauderdale, FL, United States",76.86,56.56,67.35,NA,82.48,NA
"84",NA,"Portland, OR, United States",76.83,52.91,65.62,75.46,74.61,108.09
"85",NA,"Melbourne, Australia",76.76,38.65,58.9,77.78,74.68,102.16
"86",NA,NA,76.71,29.13,54.41,82.24,44.42,81.58
"87",NA,"Wellington, New Zealand",76.66,45.43,62.02,75.75,69.08,85.49
"88",NA,"Victoria, Canada",76.65,44.9,61.77,80.26,79.11,NA
"89",NA,"Vancouver, Canada",76.61,NA,67.17,NA,74.29,87.68
"90",NA,NA,76.6,48.58,63.47,78,NA,NA
"91",NA,"Adelaide, Australia",NA,32.79,56.06,NA,67.72,NA
"92",NA,"Lund, Sweden",76.58,28.43,54.01,72.64,72.53,104.91
"93",NA,"Toulouse, France",76.57,24.74,52.27,NA,79.45,90.06
"94",NA,"Guelph, Canada",76.36,38.13,NA,77.93,NA,NA
"95",NA,"Rotterdam, Netherlands",76.24,NA,60.07,64.83,76.3,91.36
"96",NA,NA,NA,43.96,61.07,73.4,77.55,106.63
"97",NA,"Cork, Ireland",76.15,42.64,60.44,62.63,82.01,84.45
"98",NA,"Guildford, United Kingdom",76.02,49.12,63.41,66.52,74.95,78.75
"99",NA,"Plano, TX, United States",75.94,48.36,63.01,77.11,61.45,105.41
"100",NA,"Canberra, Australia",75.94,42.5,60.26,NA,79.07,105.11
"101",NA,"Tampa, FL, United States",NA,46.37,62.02,80.03,74.23,NA
"102",NA,NA,NA,39.95,NA,73.38,73.8,101.22
"103",NA,"Oxford, United Kingdom",75.68,49.17,63.25,65.9,75.45,104.03
"104",NA,"Nagoya, Japan",75.62,57.61,67.18,NA,40.27,NA
"105",NA,"Lincoln, United Kingdom",75.6,22.24,50.59,NA,90.13,88.99
"106",NA,"York, United Kingdom",75.52,NA,56.1,62.37,80.71,73.46
"107",NA,"San Diego, CA, United States",75.47,68.77,72.33,73.82,78.67,127.94
"108",NA,NA,75.41,35.29,56.6,76.36,79.48,125.32
"109",NA,"Omaha, NE, United States",75.31,30.21,54.17,72.55,80.25,106.03
"110",NA,"Leuven, Belgium",75.27,28.6,53.39,64.58,NA,83.59
"111",NA,"Reading, United Kingdom",75.27,41.7,59.53,63.44,85.76,100.89
"112",NA,"Hamilton, New Zealand",NA,31.02,NA,74.45,NA,123.18
"113",NA,"Denver, CO, United States",75.16,55.36,65.88,72.13,76.59,129.98
"114",NA,"Uppsala, Sweden",75.08,27.8,52.92,68.03,76.36,83.94
"115",NA,"Newcastle, Australia",74.99,NA,57.48,74.17,79.49,118.92
"116",NA,NA,74.91,NA,55.75,82.91,65.22,87.92
"117",NA,"Milan, Italy",74.8,44.61,60.65,62.83,NA,NA
"118",NA,"Sliema, Malta",74.78,31.54,54.51,68.77,82.09,47.96
"119",NA,"Graz, Austria",NA,22.54,50.19,NA,62.68,79.03
"120",NA,"Brussels, Belgium",74.39,NA,55.15,64.69,77,NA
"121",NA,"Buffalo, NY, United States",74.29,29.56,53.32,72.4,73.62,124.36
"122",NA,"Toronto, Canada",74.29,51.78,NA,69.91,74.36,101.29
"123",NA,"Colorado Springs, CO, United States",NA,41.51,58.91,NA,72.77,137.64
"124",NA,"Fremont, CA, United States",74.12,74.93,74.5,75.4,71,157.35
"125",NA,"Limerick, Ireland",74.11,40.25,58.24,61.06,77.49,96.5
"126",NA,"Salem, OR, United States",NA,35.81,56.09,78.63,63.1,89.2
"127",NA,"The Hague (Den Haag), Netherlands",73.94,41.27,58.63,NA,NA,88.51
"128",NA,"Hobart, Australia",73.93,37.44,56.83,71.28,73.19,NA
"129",NA,"Christchurch, New Zealand",73.85,32.58,54.51,72.38,70.9,90.2
"130",NA,NA,73.75,NA,51.68,67.5,NA,84.86
"131",NA,"San Jose, CA, United States",73.71,82.3,77.74,70.53,74.25,NA
"132",NA,"Nashville, TN, United States",73.62,53.5,64.19,73.46,74,111.46
"133",NA,"Enschede, Netherlands",NA,28.67,52.54,66.31,76.96,93.83
"134",NA,"Olympia, WA, United States",73.58,37.93,56.87,77.67,81.13,108.83
"135",NA,"Maastricht, Netherlands",73.56,36.64,56.26,65.97,72.83,86.5
"136",NA,"Baltimore, MD, United States",73.56,41.68,58.61,74.65,73.38,136.13
"137",NA,"New Orleans, LA, United States",73.55,43.45,59.44,NA,76.72,92.88
"138",NA,"Linz, Austria",73.55,NA,51.49,67.58,75.39,NA
"139",NA,"Calgary, Canada",NA,34.08,54.97,70.06,72.09,114.16
"140",NA,"Edinburgh, United Kingdom",73.15,37.38,56.38,59.68,84.71,88.03
"141",NA,"Ottawa, Canada",73.15,39.86,57.54,70.8,73.74,94.3
"142",NA,"Milton Keynes, United Kingdom",73.14,37.65,56.5,60.6,73.63,73.92
"143",NA,"Manchester, United Kingdom",73.14,34.94,55.23,60.14,87.5,91.33
"144",NA,NA,73.12,47.77,61.24,NA,65.27,NA
"145",NA,"Cambridge, United Kingdom",73.05,46.16,60.44,60.4,83.11,NA
"146",NA,"Gothenburg, Sweden",72.97,31.35,53.46,65.03,77.34,101.17
"147",NA,NA,72.86,29.03,NA,68.2,73.73,109.54
"148",NA,"Parma, Italy",72.81,21.7,48.85,60.1,77.72,NA
"149",NA,"Genoa, Italy",72.79,NA,47.91,69.58,71.05,51.57
"150",NA,"Frankfurt, Germany",72.78,39.15,57.02,NA,66.41,106.89
"151",NA,NA,72.75,43.09,58.84,83.18,56.71,100.34
"152",NA,"Grenoble, France",72.67,NA,48.64,72.16,66.83,81.58
"153",NA,"Bergamo, Italy",72.64,NA,49.5,NA,73.57,63.32
"154",NA,"Derby, United Kingdom",72.57,21.68,48.71,58.01,80.36,119.81
"155",NA,"Iowa City, IA, United States",72.54,31.69,53.39,NA,NA,NA
"156",NA,"Delft, Netherlands",72.54,30.43,52.8,65.99,63.12,91.65
"157",NA,"Syracuse, NY, United States",72.53,31.3,NA,79.21,NA,78.44
"158",NA,"Everett, WA, United States",72.38,NA,59.62,72.08,81.87,NA
"159",NA,"Saskatoon, Canada",NA,NA,51.51,68.37,69.98,88.18
"160",NA,NA,72.14,32.91,53.75,52.74,77.41,102.21
"161",NA,NA,72.1,NA,59.74,65.21,77.13,108.69
"162",NA,"Hamburg, Germany",72.01,NA,55.48,NA,68.12,101.1
"163",NA,"Red Deer, Canada",71.73,NA,48.64,70.32,65.19,123.94
"164",NA,"Surrey, Canada",NA,40.84,57.22,71.55,72.28,98.13
"165",NA,"Trieste, Italy",71.65,18.08,46.54,64.55,73.07,63.01
"166",NA,"Rochester, NY, United States",71.57,29.13,51.68,71.98,69.13,NA
"167",NA,"Milwaukee, WI, United States",71.56,39.74,56.65,73.6,68.6,109.19
"168",NA,"Albany, NY, United States",71.49,34.7,NA,NA,78.98,129.75
"169",NA,NA,71.39,NA,50.19,56.4,86.7,90.09
"170",NA,"Nottingham, United Kingdom",71.34,NA,50.43,65.7,NA,91.62
"171",NA,NA,71.33,25.8,49.99,61.55,76,90.25
"172",NA,"Bristol, United Kingdom",71.32,40.45,56.85,56.75,83.16,84.81
"173",NA,NA,71.19,25.36,49.71,61.78,84.07,91.43
"174",NA,"Portsmouth, United Kingdom",71.16,NA,52.11,NA,78.14,85.02
"175",NA,"Bonn, Germany",NA,30.96,52.27,53.92,73.85,95.72
"176",NA,"Marseille, France",71.05,23.86,48.93,72.68,64.74,95.31
